"CCLE_ID" "model_id" "model_name" "synonyms" "model_type" "growth_properties" "doi" "pmed" "model_treatment" "model_comments" "msi_status" "mutational_burden" "ploidy" "parent_id" "crispr_ko_data" "sample_id" "tissue" "tissue_status" "cancer_type" "cancer_type_detail" "cancer_type_ncit_id" "age_at_sampling" "sampling_day" "sampling_month" "sampling_year" "sample_treatment" "sample_treatment_details" "sample_site" "tnm_t" "tnm_n" "tnm_m" "tnm_integrated" "tumour_grade" "patient_id" "species" "gender" "ethnicity" "smoking_status" "model_relations_comment" "COSMIC_ID" "BROAD_ID" "RRID" "HCMI" "suppliers" "supplier" "cat_number"
"769P_KIDNEY" "SIDM00803" "769-P" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 24.82 1.96979785 "" "True" "SIDS00061" "Kidney" "Tumour" "Kidney Carcinoma" "Clear Cell Renal Cell Carcinoma" "C4033" 63 NA NA 1975 "Unknown" "" "Kidney" NA NA NA NA NA "SIDP00047" "Homo Sapiens" "Female" "White" "Unknown" "" "910922" "ACH-000411" "CVCL_1050" NA "ATCC:CRL-1933" "ATCC" "CRL-1933"
"786O_KIDNEY" "SIDM00125" "786-0" "786-O;786-O RCC;RCC 786-O;RCC_7860;786-0WT" "Cell Line" "Adherent" "" NA "" "" "MSS" 30.84 3.817733209 "" "True" "SIDS00812" "Kidney" "Tumour" "Kidney Carcinoma" "Renal Cell Carcinoma" "C9385" 58 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00725" "Homo Sapiens" "Male" "White" "Unknown" "" "905947" "ACH-000649" "CVCL_1051" NA "NCI:786-0" "NCI" "786-0"
"8305C_THYROID" "SIDM00997" "8305C" "8305C_1" "Cell Line" "Adherent" "" NA "" "" "MSS" 29.39 3.094779312 "" "True" "SIDS00448" "Thyroid" "Tumour" "Thyroid Gland Carcinoma" "Anaplastic Thyroid Carcinoma" "C3878" 67 NA NA NA "Unknown" "" "Thyroid" NA NA NA NA NA "SIDP00385" "Homo Sapiens" "Female" "Unknown" "Unknown" "" "906795" "ACH-001306" "CVCL_1053" NA "JCRB:JCRB0824" "JCRB" "JCRB0824"
"8505C_THYROID" "SIDM00996" "8505C" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 30.58 3.000859437 "" "False" "SIDS00449" "Thyroid" "Tumour" "Thyroid Gland Carcinoma" "Anaplastic Thyroid Carcinoma" "C3878" 78 NA NA NA "Unknown" "" "Thyroid" NA NA NA NA NA "SIDP00386" "Homo Sapiens" "Female" "Unknown" "Unknown" "" "924102" "ACH-001307" "CVCL_1054" NA "JCRB:JCRB0826" "JCRB" "JCRB0826"
"8MGBA_CENTRAL_NERVOUS_SYSTEM" "SIDM00998" "8-MG-BA" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 31 2.197484787 "" "True" "SIDS00447" "Central Nervous System" "Tumour" "Glioblastoma" "Glioblastoma" "C3058" 54 NA NA 1989 "None" "" "Frontal Brain lobe" NA NA NA NA NA "SIDP00384" "Homo Sapiens" "Female" "Unknown" "Unknown" "" "687562" "ACH-000137" "CVCL_1052" NA "DSMZ:ACC-432" "DSMZ" "ACC-432"
"A101D_SKIN" "SIDM00801" "A101D" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 27.71 2.522666899 "" "False" "SIDS00063" "Skin" "Tumour" "Melanoma" "Melanoma" "C3224" 56 NA NA NA "Unknown" "" "Skin" NA NA NA NA NA "SIDP00049" "Homo Sapiens" "Male" "White" "Unknown" "Hs-294-T and A101D were isolated from the same donor tissue (ATCC)." "910921" "ACH-000008" "CVCL_1057" NA "ATCC:CRL-7898" "ATCC" "CRL-7898"
"A1207_CENTRAL_NERVOUS_SYSTEM" "SIDM01527" "A-1207" "" "Cell Line" "Unknown" "" NA "Unknown" "" "" NA NA "" "False" "SIDS01238" "Central Nervous System" "Unknown" "Glioblastoma" "Glioblastoma" "C3058" NA NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01129" "Homo Sapiens" "Female" "Unknown" "Unknown" "NaN" "" "ACH-000283" "CVCL_8481" NA "" "" ""
"A172_CENTRAL_NERVOUS_SYSTEM" "SIDM00799" "A172" "A-172 MG" "Cell Line" "Adherent" "" NA "" "" "MSS" 36.03 3.456949527 "" "True" "SIDS00065" "Central Nervous System" "Tumour" "Glioblastoma" "Glioblastoma" "C3058" 53 NA NA NA "Unknown" "" "Brain" NA NA NA NA NA "SIDP00050" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "687563" "ACH-000558" "CVCL_0131" NA "ATCC:CRL-1620" "ATCC" "CRL-1620"
"A204_SOFT_TISSUE" "SIDM00798" "A204" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 18.37 1.974949934 "" "False" "SIDS00066" "Soft Tissue" "Tumour" "Rhabdomyosarcoma" "Embryonal Rhabdomyosarcoma" "C8971" 1 NA NA NA "Unknown" "" "Muscle" NA NA NA NA NA "SIDP00051" "Homo Sapiens" "Female" "Unknown" "Unknown" "" "910784" "ACH-000201" "CVCL_1058" NA "ATCC:HTB-82" "ATCC" "HTB-82"
"A2058_SKIN" "SIDM00797" "A2058" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 51.24 2.12860247 "" "True" "SIDS00067" "Skin" "Metastasis" "Melanoma" "Amelanotic Melanoma" "C3802" 43 NA NA NA "Unknown" "" "Lymph node" NA NA NA NA NA "SIDP00052" "Homo Sapiens" "Male" "White" "Unknown" "" "906792" "ACH-000788" "CVCL_1059" NA "ATCC:CRL-11147" "ATCC" "CRL-11147"
"A253_SALIVARY_GLAND" "SIDM00796" "A253" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 55.61 2.770921796 "" "True" "SIDS00068" "Head and Neck" "Tumour" "Head and Neck Carcinoma" "Salivary Gland Squamous Cell Carcinoma" "C7991" 54 NA NA NA "Unknown" "" "Submaxillary salivary gland" NA NA NA NA NA "SIDP00053" "Homo Sapiens" "Male" "White" "Unknown" "" "906794" "ACH-000740" "CVCL_1060" NA "ATCC:HTB-41" "ATCC" "HTB-41"
"A2780_OVARY" "SIDM00210" "A2780" "A2780S" "Cell Line" "Adherent" "" NA "" "" "MSS" 55 2.000944743 "" "True" "SIDS00590" "Ovary" "Tumour" "Ovarian Carcinoma" "Ovarian Endometrioid Adenocarcinoma" "C7979" NA NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00522" "Homo Sapiens" "Female" "Unknown" "Unknown" "A2780cis is a cisplatin resistant subclone of A2780.
A2780ADR is an adriamycin resistant subclone of A2780 (ECACC)." "906804" "ACH-000657" "CVCL_0134" NA "ICLC:HTL98008" "ICLC" "HTL98008"
"A375_SKIN" "SIDM00795" "A375" "A375-MEL" "Cell Line" "Adherent" "" NA "" "" "MSS" 65.03 2.689861813 "" "True" "SIDS00069" "Skin" "Tumour" "Melanoma" "Amelanotic Melanoma" "C3802" 54 NA NA NA "Unknown" "" "Skin" NA NA NA NA NA "SIDP00054" "Homo Sapiens" "Female" "Unknown" "Unknown" "A375_CJ1, A375_CJ2  and A375_CJ3 are drug resistant subclones of A375." "906793" "ACH-000219" "CVCL_0132" NA "ATCC:CRL-1619" "ATCC" "CRL-1619"
"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE" "SIDM00495" "A3-KAW" "A3/Kawakami" "Cell Line" "Suspension" "" NA "" "" "MSS" 56.5 2.043815934 "" "True" "SIDS00946" "Haematopoietic and Lymphoid" "Tumour" "B-Cell Non-Hodgkin's Lymphoma" "Diffuse Large B-Cell Lymphoma" "C8851" 68 NA NA NA "Unknown" "" "Ascites" NA NA NA NA NA "SIDP00846" "Homo Sapiens" "Female" "East Asian" "Unknown" "" "910935" "ACH-000697" "CVCL_1062" NA "JCRB:JCRB0101" "JCRB" "JCRB0101"
"A427_LUNG" "SIDM00810" "A427" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 53.03 3.126441891 "" "True" "SIDS00071" "Lung" "Tumour" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" 52 NA NA NA "Unknown" "" "Lung" NA NA NA NA NA "SIDP00056" "Homo Sapiens" "Male" "White" "Unknown" "" "910851" "ACH-000757" "CVCL_1055" NA "ATCC:HTB-53" "ATCC" "HTB-53"
"A498_KIDNEY" "SIDM00124" "A498" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 22.82 3.315826382 "" "False" "SIDS00813" "Kidney" "Tumour" "Kidney Carcinoma" "Renal Cell Carcinoma" "C9385" 52 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00726" "Homo Sapiens" "Female" "White" "Unknown" "" "905948" "ACH-000555" "CVCL_1056" NA "NCI:A498" "NCI" "A498"
"A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE" "SIDM00502" "A4-Fuk" "A4/Fukuda" "Cell Line" "Suspension" "" NA "" "" "MSS" 37.76 2.065849326 "" "False" "SIDS00947" "Haematopoietic and Lymphoid" "Metastasis" "B-Lymphoblastic Leukemia" "Adult B Acute Lymphoblastic Leukemia" "C9143" 52 NA NA NA "Unknown" "" "Ascites" NA NA NA NA NA "SIDP00847" "Homo Sapiens" "Female" "East Asian" "Unknown" "" "910934" "ACH-000157" "CVCL_1064" NA "JCRB:JCRB0097" "JCRB" "JCRB0097"
"A549_LUNG" "SIDM00903" "A549" "NCI-A549;A549/ATCC;hA549" "Cell Line" "Adherent" "" NA "" "" "MSS" 39.18 2.761944611 "" "True" "SIDS00075" "Lung" "Tumour" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" 58 NA NA 1972 "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00060" "Homo Sapiens" "Male" "White" "Unknown" "The human umbilical vein cell line, EA.hy926, was established by fusing primary human umbilical vein cells with a thioguanine-resistant clone of A549 by exposure to polyethylene glycol (PEG). Hybrid clones were selected in HAT medium and screened for factor VIII-related antigen. (ATCC)" "905949" "ACH-000681" "CVCL_0023" NA "NCI:A549" "NCI" "A549"
"A673_BONE" "SIDM00848" "A673" "RMS 1598" "Cell Line" "Adherent" "" NA "" "" "MSS" 17.87 1.951436996 "" "True" "SIDS00072" "Bone" "Tumour" "Ewing's Sarcoma" "Ewing's Sarcoma" "C4817" 15 NA NA NA "Unknown" "" "Muscle" NA NA NA NA NA "SIDP00057" "Homo Sapiens" "Female" "Unknown" "Unknown" "" "684052" "ACH-000052" "CVCL_0080" NA "ATCC:CRL-1598" "ATCC" "CRL-1598"
"A704_KIDNEY" "SIDM00849" "A704" "" "Cell Line" "Unknown" "" NA "" "" "MSS" 39.63 1.961576632 "" "False" "SIDS00073" "Kidney" "Tumour" "Kidney Carcinoma" "Renal Cell Carcinoma" "C9385" NA NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00058" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "910920" "ACH-000429" "CVCL_1065" NA "ATCC:CRL-7911" "ATCC" "CRL-7911"
"ABC1_LUNG" "SIDM00494" "ABC-1" "" "Cell Line" "Unknown" "" NA "" "" "MSS" 47.97 2.387710584 "" "True" "SIDS00948" "Lung" "Metastasis" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" 47 NA NA NA "Unknown" "" "Pleural effusion" NA NA NA NA NA "SIDP00848" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "906791" "ACH-000528" "CVCL_1066" NA "JCRB:JCRB0815" "JCRB" "JCRB0815"
"ACCMESO1_PLEURA" "SIDM01526" "ACC-MESO-1" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" 18.42 NA "" "True" "SIDS01239" "Lung" "Unknown" "Mesothelioma" "Pleural Epithelioid Mesothelioma" "C45662" 61 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01130" "Homo Sapiens" "Female" "East Asian" "Unknown" "NaN" "" "ACH-000086" "CVCL_5113" NA "RIKEN:RCB2292" "RIKEN" "RCB2292"
"ACHN_KIDNEY" "SIDM00123" "ACHN" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 16.74 2.337792141 "" "False" "SIDS00814" "Kidney" "Metastasis" "Kidney Carcinoma" "Papillary Renal Cell Carcinoma" "C6975" 22 NA 11 1979 "Unknown" "" "Pleural Effusion" NA NA NA NA NA "SIDP00727" "Homo Sapiens" "Male" "White" "Unknown" "" "905950" "ACH-000046" "CVCL_1067" NA "NCI:ACHN" "NCI" "ACHN"
"AGS_STOMACH" "SIDM00850" "AGS" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 94.66 2.094259233 "" "True" "SIDS00074" "Stomach" "Tumour" "Gastric Carcinoma" "Gastric Adenocarcinoma" "C4004" 54 NA NA 1979 "None" "" "Stomach" NA NA NA NA NA "SIDP00059" "Homo Sapiens" "Female" "White" "Unknown" "" "906790" "ACH-000880" "CVCL_0139" NA "ATCC:CRL-1739" "ATCC" "CRL-1739"
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE" "SIDM00994" "ALL-SIL" "SIL-ALL" "Cell Line" "Suspension" "" NA "" "" "MSS" 29.13 2.04827072 "" "False" "SIDS00451" "Haematopoietic and Lymphoid" "Tumour" "T-Lymphoblastic Leukemia" "Childhood T Acute Lymphoblastic Leukemia" "C7953" 17 NA NA NA "Unknown" "" "Peripheral Blood" NA NA NA NA NA "SIDP00388" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "1295740" "ACH-000105" "CVCL_1805" NA "DSMZ:ACC-511" "DSMZ" "ACC-511"
"AM38_CENTRAL_NERVOUS_SYSTEM" "SIDM00492" "AM-38" "" "Cell Line" "Unknown" "" NA "" "" "MSS" 41.66 3.235077179 "" "True" "SIDS00949" "Central Nervous System" "Tumour" "Glioblastoma" "Glioblastoma" "C3058" 36 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00849" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "910933" "ACH-000269" "CVCL_1070" NA "JCRB:IFO50492" "JCRB" "IFO50492"
"AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE" "SIDM01525" "AML-193" "" "Cell Line" "Suspension" "" NA "Unknown" "" "" 23.87 NA "" "True" "SIDS01240" "Haematopoietic and Lymphoid" "Unknown" "Acute Myeloid Leukemia" "Childhood Acute Myeloid Leukemia" "C9160" 13 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01131" "Homo Sapiens" "Female" "Unknown" "Unknown" "NaN" "" "ACH-000557" "CVCL_1071" NA "ATCC:CRL-9589" "ATCC" "CRL-9589"
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE" "SIDM00993" "AMO-1" "" "Cell Line" "Suspension" "" NA "" "" "MSS" 40.42 3.496529914 "" "True" "SIDS00452" "Haematopoietic and Lymphoid" "Metastasis" "Plasma Cell Myeloma" "Plasma Cell Myeloma" "C3242" 64 NA NA 1984 "Unknown" "" "Ascites" NA NA NA NA NA "SIDP00389" "Homo Sapiens" "Female" "Unknown" "Unknown" "" "1295741" "ACH-000838" "CVCL_1806" NA "DSMZ:ACC-538" "DSMZ" "ACC-538"
"AN3CA_ENDOMETRIUM" "SIDM00901" "AN3-CA" "" "Cell Line" "Adherent" "" NA "" "" "MSI" 222.58 2.170906977 "" "False" "SIDS00077" "Endometrium" "Tumour" "Endometrial Carcinoma" "Endometrial Adenocarcinoma" "C7359" 55 NA NA NA "Unknown" "" "Endometrium" NA NA NA NA NA "SIDP00061" "Homo Sapiens" "Female" "White" "Unknown" "" "910781" "ACH-000940" "CVCL_0028" NA "ATCC:HTB-111" "ATCC" "HTB-111"
"ASPC1_PANCREAS" "SIDM00899" "AsPC-1" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 30.13 2.461243113 "" "True" "SIDS00079" "Pancreas" "Metastasis" "Pancreatic Carcinoma" "Pancreatic Ductal Adenocarcinoma" "C9120" 62 NA NA NA "Unknown" "" "Ascites " NA NA NA NA NA "SIDP00063" "Homo Sapiens" "Female" "White" "Unknown" "" "910702" "ACH-000222" "CVCL_0152" NA "ATCC:CRL-1682" "ATCC" "CRL-1682"
"AU565_BREAST" "SIDM00898" "AU565" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 53.5 3.614169561 "" "True" "SIDS00080" "Breast" "Metastasis" "Breast Carcinoma" "Breast Adenocarcinoma" "C5214" 43 NA NA NA "Unknown" "" "Pleural Effusion" NA NA NA NA NA "SIDP00064" "Homo Sapiens" "Female" "White" "Unknown" "AU565 and SK-BR-3 were derived from the same patient (ATCC)." "910704" "ACH-000248" "CVCL_1074" NA "ATCC:CRL-2351" "ATCC" "CRL-2351"
"BC3C_URINARY_TRACT" "SIDM01523" "BC-3C" "" "Cell Line" "Adherent" "10.1007/s11626-998-0068-z" NA "Unknown" "" "" NA NA "" "True" "SIDS01242" "Bladder" "Tumour" "Bladder Carcinoma" "Bladder Carcinoma" "C4912" 82 NA NA NA "Unknown" "" "Bladder" NA NA NA NA NA "SIDP01133" "Homo Sapiens" "Female" "White" "Unknown" "NaN" "" "ACH-000593" "CVCL_1958" NA "DSMZ:ACC 450" "DSMZ" "ACC 450"
"BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE" "SIDM01530" "BCP-1" "" "Cell Line" "Suspension" "" 9473233 "Unknown" "" "" NA NA "" "False" "SIDS01243" "Haematopoietic and Lymphoid" "Tumour" "B-Cell Non-Hodgkin's Lymphoma" "Primary Effusion Lymphoma" "C6915" 92 NA NA NA "Unknown" "" "Peripheral Blood" NA NA NA NA NA "SIDP01134" "Homo Sapiens" "Male" "Unknown" "Unknown" "NaN" "" "ACH-000923" "CVCL_0107" NA "ATCC:CRL-2294" "ATCC" "CRL-2294"
"BCPAP_THYROID" "SIDM00992" "B-CPAP" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 30.37 2.966329712 "" "False" "SIDS00453" "Thyroid" "Tumour" "Thyroid Gland Carcinoma" "Papillary Thyroid Carcinoma" "C4035" 76 NA NA 1992 "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00390" "Homo Sapiens" "Female" "Unknown" "Unknown" "" "924104" "ACH-000456" "CVCL_0153" NA "DSMZ:ACC-273" "DSMZ" "ACC-273"
"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE" "SIDM01522" "BDCM" "" "Cell Line" "Suspension" "10.1046/j.1365-2141.2002.03908.x" NA "Unknown" "Leukaemic cell byproduct of a therapeutic pheresis of a patient with M5a AML (PMID: 12437665)" "" 18.55 NA "" "False" "SIDS01244" "Haematopoietic and Lymphoid" "Unknown" "B-Lymphoblastic Leukemia" "Acute Myeloid Leukemia" "C3171" NA NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01135" "Homo Sapiens" "Male" "Unknown" "Unknown" "NaN" "" "ACH-000080" "CVCL_4613" NA "ATCC:CRL-2740" "ATCC" "CRL-2740"
"BEN_LUNG" "SIDM00990" "BEN" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 54.82 3.606117968 "" "False" "SIDS00455" "Lung" "Metastasis" "Non-Small Cell Lung Carcinoma" "Non-Small Cell Lung Carcinoma" "C2926" 71 NA NA NA "Unknown" "" "Supraclavicular lymph node" NA NA NA NA NA "SIDP00392" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "753534" "ACH-000603" "CVCL_1082" NA "DSMZ:ACC-254" "DSMZ" "ACC-254"
"BFTC905_URINARY_TRACT" "SIDM00989" "BFTC-905" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 45.05 2.660235 "" "True" "SIDS00456" "Bladder" "Tumour" "Bladder Carcinoma" "Bladder Carcinoma" "C4912" 51 NA NA 1990 "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00393" "Homo Sapiens" "Female" "East Asian" "Unknown" "" "910926" "ACH-000802" "CVCL_1083" NA "DSMZ:ACC-361" "DSMZ" "ACC-361"
"BFTC909_KIDNEY" "SIDM00988" "BFTC-909" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 33.24 3.262866593 "" "True" "SIDS00457" "Kidney" "Tumour" "Kidney Carcinoma" "Renal Pelvis Urothelial Carcinoma" "C7355" 64 NA NA 1990 "Unknown" "" "Renal pelvis" NA NA NA NA NA "SIDP00394" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "910698" "ACH-000792" "CVCL_1084" NA "DSMZ:ACC-367" "DSMZ" "ACC-367"
"BHT101_THYROID" "SIDM00987" "BHT-101" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 23.61 4.264976287 "" "False" "SIDS00458" "Thyroid" "Metastasis" "Thyroid Gland Carcinoma" "Anaplastic Thyroid Carcinoma" "C3878" 63 NA NA NA "Unknown" "" "Lymph node" NA NA NA NA NA "SIDP00395" "Homo Sapiens" "Female" "Unknown" "Unknown" "" "906696" "ACH-000191" "CVCL_1085" NA "DSMZ:ACC-279" "DSMZ" "ACC-279"
"BHY_UPPER_AERODIGESTIVE_TRACT" "SIDM00986" "BHY" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 33.82 2.926313201 "" "True" "SIDS00459" "Head and Neck" "Tumour" "Head and Neck Carcinoma" "Head and Neck Squamous Cell Carcinoma" "C34447" 52 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00396" "Homo Sapiens" "Male" "East Asian" "Unknown" "" "753535" "ACH-000548" "CVCL_1086" NA "DSMZ:ACC-404" "DSMZ" "ACC-404"
